name;class;play_style;title
Aatrox;Fighter;Juggernaut;the Darkin Blade
Ahri;Mage;Burst;the NineTailed Fox
Akali;Slayer;Assassin;the Rogue Assassin
Akshan;Marksman;Assassin;the Rogue Sentinel
Alistar;Tank;Vanguard;the Minotaur
Amumu;Tank;Vanguard;the Sad Mummy
Anivia;Mage;Battlemage;the Cryophoenix
Annie;Mage;Burst;the Dark Child
Aphelios;Marksman;Marksman;the Weapon of the Faithful
Ashe;Marksman;Marksman;the Frost Archer
Aurelion Sol;Mage;Battlemage;The Star Forger
Azir;Specialist;Specialist;the Emperor of the Sands
Bard;Controllerer;Catcher;the Wandering Caretaker
Blitzcrank;Controllerer;Catcher;the Great Steam Golem
Brand;Mage;Burst;the Burning Vengeance
Braum;Tank;Warden;the Heart of the Freljord
Caitlyn;Marksman;Marksman;the Sheriff of Piltover
Camille;Fighter;Diver;the Steel Shadow
Cassiopeia;Mage;Battlemage;the Serpents Embrace
Chogath;Specialist;Specialist;the Terror of the Void
Corki;Marksman;Marksman;the Daring Bombardier
Darius;Fighter;Juggernaut;the Hand of Noxus
Diana;Slayer;Assassin;Scorn of the Moon
Dr. Mundo;Fighter;Juggernaut;the Madman of Zaun
Draven;Marksman;Marksman;the Glorious Executioner
Ekko;Slayer;Assassin;the Boy Who Shattered Time
Elise;Fighter;Diver;the Spider Queen
Evelynn;Slayer;Assassin;Agonys Embrace
Ezreal;Marksman;Marksman;the Prodigal Explorer
Fiddlesticks;Specialist;Specialist;the Ancient Fear
Fiora;Slayer;Skirmisher;the Grand Duelist
Fizz;Slayer;Assassin;the Tidal Trickster
Galio;Tank;Warden;the Colossus
Gangplank;Specialist;Specialist;the Saltwater Scourge
Garen;Fighter;Juggernaut;The Might of Demacia
Gnar;Specialist;Specialist;the Missing Link
Gragas;Tank;Vanguard;the Rabble Rouser
Graves;Specialist;Specialist;the Outlaw
Gwen;Slayer;Skirmisher;the Hallowed Seamstress
Hecarim;Fighter;Diver;the Shadow of War
Heimerdinger;Specialist;Specialist;the Revered Inventor
Illaoi;Fighter;Juggernaut;the Kraken Priestess
Irelia;Fighter;Diver;the Blade Dancer
Ivern;Controllerer;Catcher;the Green Father
Janna;Controller;Enchanter;the Storms Fury
Jarvan IV;Fighter;Diver;the Exemplar of Demacia
Jax;Slayer;Skirmisher;Grandmaster at Arms
Jayce;Mage Artillery;Artillery;the Defender of Tomorrow
Jhin;Marksman;Marksman;the Virtuoso
Jinx;Marksman;Marksman;the Loose Cannon
Kaisa;Marksman;Marksman;Daughter of the Void
Kalista;Marksman;Marksman;the Spear of Vengeance
Karma;Mage;Burst;the Enlightened One
Karthus;Mage;Battlemage;the Deathsinger
Kassadin;Slayer;Assassin;the Void Walker
Katarina;Slayer;Assassin;the Sinister Blade
Kayle;Specialist;Specialist;the Righteous
Kayn;Slayer;Skirmisher;the Shadow Reaper
Kennen;Specialist;Specialist;the Heart of the Tempest
KhaZix;Slayer;Assassin;the Voidreaver
Kindred;Marksman;Marksman;The Eternal Hunters
Kled;Slayer;Skirmisher;the Cantankerous Cavalier
KogMaw;Marksman;Marksman;the Mouth of the Abyss
LeBlanc;Mage;Burst;the Deceiver
Lee Sin;Fighter;Diver;the Blind Monk
Leona;Tank;Vanguard;the Radiant Dawn
Lillia;Slayer;Skirmisher;the Bashful Bloom
Lissandra;Mage;Burst;the Ice Witch
Lucian;Marksman;Marksman;the Purifier
Lulu;Controller;Enchanter;the Fae Sorceress
Lux;Mage;Burst;the Lady of Luminosity
Malphite;Tank;Vanguard;Shard of the Monolith
Malzahar;Mage;Battlemage;the Prophet of the Void
Maokai;Tank;Vanguard;the Twisted Treant
Master Yi;Slayer;Skirmisher;the Wuju Bladesman
Miss Fortune;Marksman;Marksman;the Bounty Hunter
Mordekaiser;Fighter;Juggernaut;the Iron Revenant
Morgana;Controllerer;Catcher;the Fallen
Nami;Controller;Enchanter;the Tidecaller
Nasus;Fighter;Juggernaut;the Curator of the Sands
Nautilus;Tank;Vanguard;the Titan of the Depths
Neeko;Mage;Burst;the Curious Chameleon
Nidalee;Specialist;Specialist;the Bestial Huntress
