Year;Champion;Role;P;B;W;K;D
2014;Ahri;Middle;15.4;1.3;42;43;31
2014;Akali;Top;1.3;0.0;100;9;0
2014;Alistar;Support;1.3;93.6;100;0;4
2014;Alistar;Top;5.1;93.6;75;10;9
2014;Blitzcrank;Support;3.8;0.0;0;4;19
2014;Braum;Support;15.4;0.0;50;1;45
2014;Caitlyn;ADC;2.6;0.0;50;11;4
2014;Corki;ADC;28.2;0.0;55;91;52
2014;Dr. Mundo;Top;12.8;0.0;10;17;31
2014;Elise;Jungle;19.2;1.3;33;22;50
2014;Evelynn;Jungle;2.6;0.0;100;6;2
2014;Ezreal;ADC;2.6;0.0;0;6;2
2014;Fiddlesticks;Jungle;1.3;0.0;100;5;4
2014;Fizz;Middle;16.7;14.1;38;65;40
2014;Galio;Top;1.3;0.0;0;0;7
2014;Graves;ADC;2.6;0.0;50;7;5
2014;Irelia;Top;19.2;7.7;67;45;21
2014;Janna;Support;57.7;10.3;62;15;95
2014;Jarvan IV;Jungle;21.8;1.3;35;29;61
2014;Jayce;Middle;15.4;10.3;58;46;30
2014;Jinx;ADC;9.0;3.8;29;12;30
2014;Kassadin;Middle;5.1;2.6;50;18;13
2014;Kassadin;Top;5.1;2.6;75;17;7
2014;Katarina;Middle;1.3;0.0;100;12;2
2014;Kayle;Support;1.3;2.6;0;0;3
2014;Kayle;Top;15.4;2.6;42;21;37
2014;KhaZix;Jungle;73.1;10.3;44;172;148
2014;KhaZix;Top;1.3;10.3;0;1;1
2014;KogMaw;ADC;20.5;1.3;44;58;40
2014;Lee Sin;Jungle;55.1;37.2;56;125;118
2014;Leona;Support;3.8;0.0;33;5;10
2014;Lissandra;Middle;1.3;0.0;100;4;2
2014;Lucian;ADC;56.4;21.8;52;210;104
2014;Lulu;Middle;6.4;2.6;80;12;7
2014;Lulu;Top;12.8;2.6;10;7;32
2014;Maokai;Top;34.6;57.7;63;73;84
2014;Morgana;Support;15.4;0.0;50;6;38
2014;Nami;Support;33.3;3.8;38;23;85
2014;Nidalee;Top;10.3;21.8;13;18;42
2014;Nunu;Jungle;1.3;0.0;0;0;5
2014;Orianna;Middle;34.6;6.4;52;87;73
2014;Pantheon;Jungle;3.8;0.0;33;15;15
2014;Rammus;Jungle;2.6;1.3;100;4;6
2014;Rengar;Jungle;17.9;24.4;86;61;34
2014;Riven;Top;1.3;0.0;100;0;2
2014;Rumble;Top;32.1;19.2;52;68;94
2014;Ryze;Middle;3.8;39.7;67;18;10
2014;Ryze;Top;43.6;39.7;59;111;107
2014;Singed;Top;2.6;0.0;50;7;5
2014;Sona;Support;3.8;0.0;0;1;12
2014;Swain;Top;1.3;0.0;100;1;8
2014;Syndra;Middle;17.9;14.1;36;59;51
2014;Talon;Middle;9.0;0.0;43;20;37
2014;Thresh;Support;56.4;24.4;55;35;147
2014;Tristana;ADC;41.0;9.0;38;126;70
2014;Twisted Fate;Middle;10.3;7.7;38;39;27
2014;Twitch;ADC;30.8;14.1;71;143;58
2014;Varus;ADC;1.3;0.0;0;3;3
2014;Vayne;ADC;5.1;0.0;75;21;3
2014;Vi;Jungle;1.3;0.0;0;0;7
2014;Xerath;Middle;7.7;0.0;33;9;10
2014;Yasuo;Middle;19.2;19.2;67;61;34
2014;Zed;Middle;24.4;24.4;47;86;68
2014;Ziggs;Middle;2.6;0.0;50;4;3
2014;Zilean;Middle;9.0;79.5;57;23;16
2014;Zilean;Support;7.7;79.5;33;6;18
2015;Ahri;Middle;4.1;0.0;33;9;3
2015;Alistar;Support;41.1;4.1;50;9;82
2015;Anivia;Middle;8.2;0.0;67;9;16
2015;Annie;Support;12.3;1.4;44;11;27
2015;Ashe;ADC;12.3;5.5;56;27;14
2015;Azir;Middle;19.2;38.4;71;49;37
2015;Bard;Support;2.7;0.0;0;3;10
2015;Blitzcrank;Support;1.4;0.0;0;1;5
2015;Brand;Support;1.4;0.0;0;1;6
2015;Braum;Support;28.8;4.1;38;10;61
2015;Caitlyn;ADC;6.8;0.0;60;12;8
2015;Cassiopeia;Middle;1.4;0.0;0;1;1
2015;Darius;Top;52.1;20.5;50;137;127
2015;Diana;Middle;5.5;2.7;50;15;15
2015;Draven;ADC;1.4;0.0;100;5;1
2015;Ekko;Jungle;1.4;0.0;0;1;3
2015;Ekko;Middle;6.8;0.0;20;14;17
2015;Ekko;Top;4.1;0.0;67;13;11
2015;Elise;Jungle;53.4;43.8;67;96;92
2015;Evelynn;Jungle;5.5;0.0;25;5;16
2015;Fiora;Top;26.0;5.5;58;69;56
2015;Fizz;Middle;5.5;6.8;50;16;8
2015;Gangplank;Middle;2.7;94.5;100;7;0
2015;Gangplank;Top;2.7;94.5;100;7;5
2015;Gnar;Top;26.0;2.7;42;50;62
2015;Gragas;Jungle;39.7;5.5;45;37;88
2015;Graves;ADC;1.4;0.0;100;9;2
2015;Hecarim;Jungle;1.4;0.0;0;0;3
2015;Hecarim;Top;5.5;0.0;50;17;9
2015;Irelia;Middle;1.4;0.0;0;2;7
2015;Irelia;Top;1.4;0.0;0;3;2
2015;Janna;Support;4.1;0.0;67;0;6
2015;Jarvan IV;Jungle;5.5;0.0;75;6;11
2015;Jarvan IV;Top;1.4;0.0;100;5;6
2015;Jayce;ADC;1.4;0.0;0;1;2
2015;Jinx;ADC;39.7;5.5;52;147;68
2015;Kalista;ADC;39.7;34.2;48;126;65
2015;Karthus;Middle;1.4;0.0;100;4;3
2015;Kassadin;Middle;9.6;0.0;71;37;13
2015;Kennen;ADC;6.8;6.8;60;19;13
2015;Kennen;Support;8.2;6.8;50;9;25
